Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	122212111	121212112	Left	0	1	rm_hit	486.1
Main	1	2	111212211	112212111	Right	0	2	rm_hit	2231.7
Main	1	3	222211111	212211121	Left	0	1	rm_hit	1118.3
Main	1	4	221211121	121211122	Left	0	1	rm_hit	1030.9
Main	1	5	221121111	221112111	Right	0	2	rm_hit	1359.4
Main	1	6	112211221	122211211	Right	0	2	rm_hit	1280
Main	1	1	111121211	211121111	Left	0	1	rm_hit	1164.9
Main	1	2	112112122	111212122	Right	0	2	rm_hit	791.4
Main	1	3	121221111	111221121	Left	0	1	rm_hit	1327.1
Main	1	4	122111111	112112111	Left	0		rm_miss	-123198
Main	1	5	122211112	121211212	Right	0		rm_miss	-131413.3

