Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	1111111111211111111212111	1111111111111111111212211	Right	0		rm_miss	-25875.6
Main	1	2	1111111111112111121121121	1111121111111111121121121	Right	0		rm_miss	-34084.2
Main	1	3	1111111111112111111112211	1111111111112111111112112	Left	0		rm_miss	-42292.9
Main	1	4	1111111111121111112111111	1111111111121111111111211	Right	0		rm_miss	-50501.5
Main	1	5	1111111111111112111111121	1111111111111112111121111	Left	0		rm_miss	-58710.1
Main	1	6	1111111111211111111211111	2111111111211111111111111	Left	0		rm_miss	-66918.8
Main	1	1	1112111111111111112111111	1112111111111111111121111	Right	0		rm_miss	-89130.3
Main	1	2	1111111112111112111111111	1111111112111111111111112	Right	0		rm_miss	-97339
Main	1	3	1121111111111112111111111	1111111111111112121111111	Left	0		rm_miss	-105547.6
Main	1	4	1111112111111111211112211	1111112111111111211121211	Right	0		rm_miss	-113756.2
Main	1	5	1212111111111112111111111	1112112111111112111111111	Left	0		rm_miss	-121964.9
Main	1	6	1111111111122121111111111	1111111111112121111211111	Left	0		rm_miss	-130173.5
Main	1	1	1111121111211121111111121	1111121111211211111111121	Right	0		rm_miss	-152385.1
Main	1	2	2111111121121111111111211	2111111111121111111112211	Right	0		rm_miss	-160593.7
Main	1	3	1111112112211121111111111	1111111112211121111121111	Left	0		rm_miss	-168802.4
Main	1	4	1111122111121112111111111	1111122111121111112111111	Right	0		rm_miss	-177011
Main	1	5	1112111111111111111121111	1112111121111111111111111	Left	0		rm_miss	-185219.6
Main	1	6	1111112111211111111111111	1111111111221111111111111	Left	0		rm_miss	-193428.3
Main	1	1	1211111112122111111111111	1212111111122111111111111	Right	0		rm_miss	-215639.9
Main	1	2	1111111111212112111111121	1111121111212111111111121	Right	0		rm_miss	-223848.5
Main	1	3	1211111111112121111112111	1211111211111121111112111	Left	0		rm_miss	-232057.1
Main	1	4	1121111111111111121111111	1112111111111111121111111	Right	0		rm_miss	-240265.7
Main	1	5	2111121111111111121121111	2111122111111111111121111	Left	0		rm_miss	-248474.4
Main	1	6	1111111121111111111211111	1111111121111211111111111	Left	0		rm_miss	-256683
Main	1	1	1112111111111211122111111	1112111111111211112121111	Right	0		rm_miss	-278894.6
Main	1	2	1111111111111121111111121	1111111111211121111111111	Right	0		rm_miss	-287103.2
Main	1	3	1121111211111112112111111	1121111211111111112111121	Left	0		rm_miss	-295311.9
Main	1	4	1111111111111111111121212	1111111111121111111121211	Right	0		rm_miss	-303520.5
Main	1	5	1211111111111111111111121	1211111111111111111121111	Left	0		rm_miss	-311729.1
Main	1	6	1121111111111111111211111	1121111111112111111111111	Left	0		rm_miss	-319937.8

