Scenario - Match to Sample
Logfile written - 06/23/2022 09:02:00

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	0	Pulse	84									14064	14064	1
	2	Picture	ITI	ITI								154182	0	1	1998	1	0	next	other	0
	3	Picture	Study	Study								156180	0	1	9990	1	0	next	other	0
	5	Picture	Stim;Main;1;1;2211111111121111111111111;2211111111111111112111111;Left;0	Stim	Main	1	1	2211111111121111111111111	2211111111111111112111111	Left	0	196307	0	1	39961	1	0	next	miss	0
	6	Picture	ITI	ITI								236268	0	1	1998	1	0	next	other	0
	7	Picture	Study	Study								238266	0	1	9990	1	0	next	other	0
	9	Picture	Stim;Main;1;2;1212111111211111111111111;1212111111111111111111121;Left;0	Stim	Main	1	2	1212111111211111111111111	1212111111111111111111121	Left	0	278394	0	1	39961	1	0	next	miss	0
	10	Picture	ITI	ITI								318355	0	1	1998	1	0	next	other	0
	11	Picture	Study	Study								320353	0	1	9990	1	0	next	other	0
	13	Picture	Stim;Main;1;3;1111221111121111111111121;1111221111111111111111221;Right;0	Stim	Main	1	3	1111221111121111111111121	1111221111111111111111221	Right	0	360480	0	1	39961	1	0	next	miss	0
	14	Picture	ITI	ITI								400441	0	1	1998	1	0	next	other	0
	15	Picture	Study	Study								402439	0	1	9990	1	0	next	other	0
	17	Picture	Stim;Main;1;4;2111111211112111121111111;2111111111112211121111111;Right;0	Stim	Main	1	4	2111111211112111121111111	2111111111112211121111111	Right	0	442566	0	1	39961	1	0	next	miss	0
	18	Picture	ITI	ITI								482527	0	1	1998	1	0	next	other	0
	19	Picture	Study	Study								484525	0	1	9990	1	0	next	other	0
	21	Picture	Stim;Main;1;5;1111111112121111111111121;1111111112121111111112111;Right;0	Stim	Main	1	5	1111111112121111111111121	1111111112121111111112111	Right	0	524653	0	1	39961	1	0	next	miss	0
	22	Picture	ITI	ITI								564614	0	1	1998	1	0	next	other	0
	23	Picture	Study	Study								566612	0	1	9990	1	0	next	other	0
	25	Picture	Stim;Main;1;6;1211121121111111111121111;1211111121112111111121111;Left;0	Stim	Main	1	6	1211121121111111111121111	1211111121112111111121111	Left	0	606739	0	1	39961	1	0	next	miss	0
	27	Picture	ITI	ITI								786730	0	1	1998	1	0	next	other	0
	28	Picture	Study	Study								788728	0	1	9990	1	0	next	other	0
	30	Picture	Stim;Main;1;1;1111111111111211111212121;1121111111111211111112121;Left;0	Stim	Main	1	1	1111111111111211111212121	1121111111111211111112121	Left	0	828855	0	1	39961	1	0	next	miss	0
	31	Picture	ITI	ITI								868816	0	1	1998	1	0	next	other	0
	32	Picture	Study	Study								870814	0	1	9990	1	0	next	other	0
	34	Picture	Stim;Main;1;2;2111211121111111111111111;1111212121111111111111111;Left;0	Stim	Main	1	2	2111211121111111111111111	1111212121111111111111111	Left	0	910941	0	1	39961	1	0	next	miss	0
	35	Picture	ITI	ITI								950902	0	1	1998	1	0	next	other	0
	36	Picture	Study	Study								952900	0	1	9990	1	0	next	other	0
	38	Picture	Stim;Main;1;3;1111111121112111111111111;1111111111112112111111111;Right;0	Stim	Main	1	3	1111111121112111111111111	1111111111112112111111111	Right	0	993028	0	1	39961	1	0	next	miss	0
	39	Picture	ITI	ITI								1032989	0	1	1998	1	0	next	other	0
	40	Picture	Study	Study								1034987	0	1	9990	1	0	next	other	0
	42	Picture	Stim;Main;1;4;1112121111211111111111111;1111121111211111111121111;Right;0	Stim	Main	1	4	1112121111211111111111111	1111121111211111111121111	Right	0	1075114	0	1	39961	1	0	next	miss	0
	43	Picture	ITI	ITI								1115075	0	1	1998	1	0	next	other	0
	44	Picture	Study	Study								1117073	0	1	9990	1	0	next	other	0
	46	Picture	Stim;Main;1;5;1112112121111111111111111;1112112112111111111111111;Right;0	Stim	Main	1	5	1112112121111111111111111	1112112112111111111111111	Right	0	1157200	0	1	39961	1	0	next	miss	0
	47	Picture	ITI	ITI								1197161	0	1	1998	1	0	next	other	0
	48	Picture	Study	Study								1199159	0	1	9990	1	0	next	other	0
	50	Picture	Stim;Main;1;6;1112112111121111111111121;1112112111211111111111121;Left;0	Stim	Main	1	6	1112112111121111111111121	1112112111211111111111121	Left	0	1239287	0	1	39961	1	0	next	miss	0
	52	Picture	ITI	ITI								1419277	0	1	1998	1	0	next	other	0
	53	Picture	Study	Study								1421275	0	1	9990	1	0	next	other	0
	55	Picture	Stim;Main;1;1;1111112111111111211111211;1111112111112111211111111;Left;0	Stim	Main	1	1	1111112111111111211111211	1111112111112111211111111	Left	0	1461402	0	1	39961	1	0	next	miss	0
	56	Picture	ITI	ITI								1501363	0	1	1998	1	0	next	other	0
	57	Picture	Study	Study								1503361	0	1	9990	1	0	next	other	0
	59	Picture	Stim;Main;1;2;2111211211111121111111111;1111211211111121111121111;Left;0	Stim	Main	1	2	2111211211111121111111111	1111211211111121111121111	Left	0	1543489	0	1	39961	1	0	next	miss	0
	60	Picture	ITI	ITI								1583450	0	1	1998	1	0	next	other	0
	61	Picture	Study	Study								1585448	0	1	9990	1	0	next	other	0
	63	Picture	Stim;Main;1;3;1111111121211111211111111;1112111121211111111111111;Right;0	Stim	Main	1	3	1111111121211111211111111	1112111121211111111111111	Right	0	1625575	0	1	39961	1	0	next	miss	0
	64	Picture	ITI	ITI								1665536	0	1	1998	1	0	next	other	0
	65	Picture	Study	Study								1667534	0	1	9990	1	0	next	other	0
	67	Picture	Stim;Main;1;4;1212111111111212111111111;1212111112111211111111111;Right;0	Stim	Main	1	4	1212111111111212111111111	1212111112111211111111111	Right	0	1707661	0	1	39961	1	0	next	miss	0
	68	Picture	ITI	ITI								1747622	0	1	1998	1	0	next	other	0
	69	Picture	Study	Study								1749620	0	1	9990	1	0	next	other	0
	71	Picture	Stim;Main;1;5;1111121111111111111122111;1111121121111111111112111;Right;0	Stim	Main	1	5	1111121111111111111122111	1111121121111111111112111	Right	0	1789748	0	1	39961	1	0	next	miss	0
	72	Picture	ITI	ITI								1829709	0	1	1998	1	0	next	other	0
	73	Picture	Study	Study								1831707	0	1	9990	1	0	next	other	0
	75	Picture	Stim;Main;1;6;1112111111111112111111211;1112121111111111111111211;Left;0	Stim	Main	1	6	1112111111111112111111211	1112121111111111111111211	Left	0	1871834	0	1	39961	1	0	next	miss	0
	77	Picture	ITI	ITI								2051825	0	1	1998	1	0	next	other	0
	78	Picture	Study	Study								2053823	0	1	9990	1	0	next	other	0
	79	Quit										2076702	12889	NA
