Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	211111212	112111212	Right	0	2	rm_hit	1279.9
Main	1	2	121121112	112121112	Left	0	1	rm_hit	1139.5
Main	1	3	111221121	112211121	Left	0	1	rm_hit	615.3
Main	1	4	212111212	212112112	Right	0	2	rm_hit	666.9
Main	1	5	121121112	111121122	Right	0	2	rm_hit	878.4
Main	1	6	212111112	222111111	Left	0	1	rm_hit	834
Main	1	1	212112112	211122112	Right	0	2	rm_hit	883.4
Main	1	2	112211111	111211121	Left	0	1	rm_hit	823.1
Main	1	3	212111212	212111122	Left	0	1	rm_hit	906.8
Main	1	4	122111111	112111112	Right	0	2	rm_hit	478.6
Main	1	5	121111112	121112111	Right	0	2	rm_hit	1073.8
Main	1	6	122111121	221111121	Left	0	1	rm_hit	869.5
Main	1	1	122111121	112112121	Right	0	2	rm_hit	1206.7
Main	1	2	122112111	121212111	Left	0	1	rm_hit	794.5
Main	1	3	211111112	212111111	Left	0	1	rm_hit	926.1
Main	1	4	111112211	111111212	Right	0	2	rm_hit	897.6
Main	1	5	221211211	121212211	Right	0	2	rm_hit	1013
Main	1	6	121112112	121111212	Left	0	1	rm_hit	904.6
Main	1	1	112211122	112212112	Right	0	2	rm_hit	1034.1
Main	1	2	121121122	211121122	Left	0	1	rm_hit	653.9
Main	1	3	121112111	111122111	Left	0	1	rm_hit	657.5
Main	1	4	111111222	121111122	Right	0	2	rm_hit	804.9
Main	1	5	121221111	121211112	Right	0	2	rm_hit	840.5
Main	1	6	111111122	111112112	Left	0	1	rm_hit	892.2
Main	1	1	211111211	211111112	Right	0	2	rm_hit	909.5
Main	1	2	212211111	211211211	Left	0	1	rm_hit	865.2
Main	1	3	111222121	211122121	Left	0	1	rm_hit	628.9
Main	1	4	121121111	211121111	Right	0	2	rm_hit	1959.6
Main	1	5	112112111	111122111	Right	0	2	rm_hit	604
Main	1	6	111111122	111121112	Left	0	1	rm_hit	591.7

