Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	111111111111121112111121111211111111	111111111111111112111121111211211111	Right	0	1	rm_incorrect	1391.2
Main	1	2	121111111111121111211111211111111111	121111111111121111211111111111121111	Left	0	1	rm_hit	1263.5
Main	1	3	111111111111111211111112111111111112	111111111111111211111111111111112112	Left	0	1	rm_hit	1343.6
Main	1	4	211111211111111111111211111111211111	211111111111111111111221111111211111	Right	0	2	rm_hit	1487.8
Main	1	5	111111111111111111121111111111111121	111111111111111211111111111111111121	Left	0	1	rm_hit	960.5
Main	1	6	211111111111112111111112111112111111	211111111111111111111112111112111121	Right	0	2	rm_hit	1136.6
Main	1	1	211111112111111111111111111111111111	111111122111111111111111111111111111	Right	0	2	rm_hit	990.7
Main	1	2	121111111111111211111111111121121111	121111111112111211111111111111121111	Left	0	1	rm_hit	1135.2
Main	1	3	111111111111111111111111112111112111	111111111112111111111111111111112111	Left	0	1	rm_hit	831.7
Main	1	4	111111111111111121111111211111111111	111111111121111121111111111111111111	Right	0	2	rm_hit	880
Main	1	5	121111121111111111111211111111111111	121111111111111111111211111112111111	Left	0	1	rm_hit	896.3
Main	1	6	111111111111111211111112111111111111	111111111111111211111111111111211111	Right	0	2	rm_hit	880.6
Main	1	1	111111121111211111111111111111111111	111111111111211111111111111111112111	Right	0	2	rm_hit	1027.7
Main	1	2	111111111111111111121111111111112211	111111111111111111121121111111111211	Left	0	1	rm_hit	916.2
Main	1	3	111111121121111221111111111111111111	111111111121111221111111111111211111	Left	0	1	rm_hit	1747.8
Main	1	4	111211111111111111111112112111111111	111212111111111111111112111111111111	Right	0	2	rm_hit	980.7
Main	1	5	212111111111111111111111111111111111	112111112111111111111111111111111111	Left	0	2	rm_incorrect	1059.4
Main	1	6	111121111111211111112211111111111111	112121111111111111112211111111111111	Right	0	2	rm_hit	1139.2
Main	1	1	121111111111112111111121111111111111	122111111111111111111121111111111111	Right	0	2	rm_hit	1121.2
Main	1	2	111111111112111111111111111112111111	111111111112211111111111111111111111	Left	0	1	rm_hit	993.5
Main	1	3	211111111111111112111111111111111111	211111121111111111111111111111111111	Left	0	1	rm_hit	1025.9
Main	1	4	111111211112111111111111111111111111	111112111112111111111111111111111111	Right	0	2	rm_hit	866.3
Main	1	5	111111111121121211111111111111111111	111111111111121211111111111111211111	Left	0	1	rm_hit	1250.4
Main	1	6	212111111111111111111122111111111111	212111111111111111111121111111211111	Right	0	2	rm_hit	930.7
Main	1	1	111111111111111111111111121111111112	111111111211111111111111121111111111	Right	0	2	rm_hit	992.7
Main	1	2	111111111111111112111111221111111111	111111111121111112111111121111111111	Left	0	1	rm_hit	993.1
Main	1	3	111111121111121111111121111111211111	111111221111121111111111111111211111	Left	0	1	rm_hit	1041.2
Main	1	4	121111111111111111111112111111111111	112111111111111111111112111111111111	Right	0	1	rm_incorrect	3040.3
Main	1	5	111111111112111111111111112111111111	112111111111111111111111112111111111	Left	0	2	rm_incorrect	1329.7
Main	1	6	111111112121111112111211111111111111	111111112111111122111211111111111111	Right	0	2	rm_hit	1505.8

