Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	1112111211211111	1112111211111112	Right	0	2	rm_hit	1013.7
Main	1	2	1112111121221111	2112111111221111	Right	0	2	rm_hit	1126.1
Main	1	3	2111111111111121	1111111111111221	Left	0	1	rm_hit	1094.4
Main	1	4	1121111211111111	1221111111111111	Left	0	1	rm_hit	998.9
Main	1	5	2111111111111221	2111111211111121	Right	0	2	rm_hit	887.5
Main	1	6	2211111111121111	2211111111111211	Left	0	1	rm_hit	1015.7
Main	1	1	2111111211111111	1111111211111211	Right	0	2	rm_hit	886.2
Main	1	2	2111111111122111	2112111111121111	Right	0	2	rm_hit	1046.4
Main	1	3	1111112111211121	1111112211211111	Left	0	1	rm_hit	791.1
Main	1	4	2111111111211121	2111111111111122	Left	0	1	rm_hit	951.3
Main	1	5	1111112111112111	1111112111111112	Right	0	2	rm_hit	1128
Main	1	6	2111221111111211	1112221111111211	Left	0	1	rm_hit	872.6
Main	1	1	1111121111111211	1211111111111211	Right	0	2	rm_hit	1030.7
Main	1	2	1111211221111111	1111111221111121	Right	0	2	rm_hit	1047.1
Main	1	3	1111111111121121	1111111111111221	Left	0	1	rm_hit	823.7
Main	1	4	1112111121111111	1122111111111111	Left	0	1	rm_hit	952
Main	1	5	1112111111111121	1111111112111121	Right	0	2	rm_hit	952.4
Main	1	6	1211111211121121	1211111111221121	Left	0	1	rm_hit	1080.6
Main	1	1	1111111111112212	1111111121112112	Right	0	2	rm_hit	983.1
Main	1	2	1111111111111212	1111111111111221	Right	0	2	rm_hit	1015.3
Main	1	3	2111111121211111	2211111111211111	Left	0	1	rm_hit	887.8
Main	1	4	2111121111111211	1111121111112211	Left	0	1	rm_hit	904
Main	1	5	1111211212111211	1121111212111211	Right	0	2	rm_hit	1272
Main	1	6	1112111121111111	2111111121111111	Left	0	1	rm_hit	808.8
Main	1	1	2111211212111111	1111211212111211	Right	0	2	rm_hit	1110.8
Main	1	2	1111111211112212	1111211211112112	Right	0	2	rm_hit	1127.1
Main	1	3	1112111221111111	1112111121211111	Left	0	1	rm_hit	871.4
Main	1	4	1111111112211212	1111111112221112	Left	0	1	rm_hit	1195.5
Main	1	5	1111212111121111	1111112111121112	Right	0	2	rm_hit	988
Main	1	6	1111111122211111	1111111122121111	Left	0	1	rm_hit	820.4

