Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	112221121	212121121	Left	0	1	rm_hit	1221.6
Main	1	2	211112111	211211111	Right	0	2	rm_hit	998.2
Main	1	3	122221111	112221121	Right	0	2	rm_hit	1286.4
Main	1	4	112111122	111121122	Right	0	2	rm_hit	1159.1
Main	1	5	211211121	211211112	Left	0	1	rm_hit	1687.2
Main	1	6	211121221	211122121	Left	0	1	rm_hit	1623.6
Main	1	1	111221112	121211112	Left	0	1	rm_hit	1026.4
Main	1	2	111111122	111211112	Right	0	2	rm_hit	1106.6
Main	1	3	121112211	121112112	Right	0	2	rm_hit	1235.1
Main	1	4	211111211	211121111	Right	0	2	rm_hit	1267.4
Main	1	5	212111122	221111122	Left	0	1	rm_hit	1715.5
Main	1	6	111112121	111121121	Left	0	1	rm_hit	1108.2
Main	1	1	211121111	211211111	Left	0	1	rm_hit	914.7
Main	1	2	212122111	112122211	Right	0	2	rm_hit	1410.8
Main	1	3	121111121	211111121	Right	0	2	rm_hit	1027.4
Main	1	4	121121111	122111111	Right	0	2	rm_hit	995.8
Main	1	5	111211211	121111211	Left	0	1	rm_hit	772.5
Main	1	6	221111211	212111211	Left	0	1	rm_hit	964.6
Main	1	1	112111121	122111111	Left	0	1	rm_hit	994.8
Main	1	2	221121111	211121121	Right	0	2	rm_hit	1011.1
Main	1	3	121122211	111122212	Right	0	2	rm_hit	1075.4
Main	1	4	111121212	111122211	Right	0	2	rm_hit	1027.8
Main	1	5	111121112	111211112	Left	0	1	rm_hit	1523.9
Main	1	6	111221111	121211111	Left	0	1	rm_hit	772.8
Main	1	1	122111121	121121121	Left	0	1	rm_hit	963.1
Main	1	2	112112112	112111212	Right	0	2	rm_hit	883.6
Main	1	3	112221112	212221111	Right	0	2	rm_hit	1267.7
Main	1	4	111111221	111112121	Right	0	2	rm_hit	1204.1
Main	1	5	211121212	211221211	Left	0	1	rm_hit	1220.5
Main	1	6	211212111	211112112	Left	0	2	rm_incorrect	917.1

