Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	2111111111111111111111211	1111111111111111112111211	Left	0	1	rm_hit	949.6
Main	1	2	1111111111112111111211111	1111211111111111111211111	Right	0	2	rm_hit	1353.1
Main	1	3	1121111111111211211111111	1121111111111211111211111	Left	0	1	rm_hit	1132.9
Main	1	4	1111111112111221112111111	1111111111111221122111111	Right	0	2	rm_hit	880.8
Main	1	5	1111111111121111111221111	1111111111121211111121111	Left	0	1	rm_hit	916.4
Main	1	6	1221111111111111111111211	1211111211111111111111211	Right	0	2	rm_hit	1335.9
Main	1	1	1111111111111111112112112	1111111111112111111112112	Left	0	1	rm_hit	1433.8
Main	1	2	1111111111112211111111121	1111111111112111111111122	Right	0	2	rm_hit	1133.7
Main	1	3	2111111111111121111121111	2111111111111121112111111	Left	0	1	rm_hit	1105.4
Main	1	4	1111121111111211111121121	1112121111111111111121121	Right	0	2	rm_hit	1189.1
Main	1	5	1111111111111112111112211	1111111111111111111122211	Left	0	1	rm_hit	920.9
Main	1	6	1111111111111112111111112	1111111111111112111111211	Right	0	2	rm_hit	1116.5
Main	1	1	1111111112111121111111111	1111111112111111112111111	Left	0	1	rm_hit	958.4
Main	1	2	1111111211211211211111111	1111111212211111211111111	Right	0	2	rm_hit	946.1
Main	1	3	1121111111111221111111111	1121111111111211111211111	Left	0	1	rm_hit	1413.6
Main	1	4	1111111111111112112111111	1111111211111111112111111	Right	0	2	rm_hit	1049.4
Main	1	5	1111112112111112111111121	1121111112111112111111121	Left	0	1	rm_hit	1181
Main	1	6	1112111112112111121111111	1112111212112111111111111	Right	0	2	rm_hit	1296.8
Main	1	1	1111111121111111111211111	1111111111211111111211111	Left	0	1	rm_hit	967.8
Main	1	2	1111111111121111111211111	1111111211111111111211111	Right	0	2	rm_hit	1483
Main	1	3	1111111111111211211211111	1111111111111211111221111	Left	0	1	rm_hit	1182.9
Main	1	4	1111111111112111111211111	1111111112111111111211111	Right	0	2	rm_hit	1058.6
Main	1	5	1111112111111111211122111	1111111121111111211122111	Left	0	1	rm_hit	886.6
Main	1	6	1111112111111112111112111	1111112112111111111112111	Right	0	2	rm_hit	1002.2
Main	1	1	1111211211111121211111111	1211111211111121211111111	Left	0	1	rm_hit	1019.9
Main	1	2	1111111211111111111121111	1111111211211111111111111	Right	0	2	rm_hit	975.5
Main	1	3	1211211111111111112211111	1111211111111112112211111	Left	0	1	rm_hit	1235.1
Main	1	4	1111211121111111111111111	1111111121211111111111111	Right	0	2	rm_hit	775.1
Main	1	5	1112111111111111111112121	1112111111111111112112111	Left	0	1	rm_hit	842.7
Main	1	6	1111112111112121112111111	1111111111112121112121111	Right	0	2	rm_hit	942.3

