Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	111211112	121111112	Right	0	2	rm_hit	1123.6
Main	1	2	111122111	211121111	Left	0	1	rm_hit	839.4
Main	1	3	212211111	211211121	Right	0	2	rm_hit	907.1
Main	1	4	211222111	212221111	Right	0	2	rm_hit	543
Main	1	5	111121212	111121122	Left	0	1	rm_hit	642.6
Main	1	6	221211111	221121111	Left	0	1	rm_hit	790.1
Main	1	1	111221121	111121221	Right	0	2	rm_hit	862.9
Main	1	2	112112221	112212211	Left	0	1	rm_hit	658.9
Main	1	3	111222211	111212221	Right	0	2	rm_hit	726.5
Main	1	4	122121211	121121221	Right	0	2	rm_hit	1049.9
Main	1	5	111211221	121111221	Left	0	1	rm_hit	701.9
Main	1	6	112111112	212111111	Left	0	1	rm_hit	737.5
Main	1	1	111221211	111211221	Right	0	2	rm_hit	803.3
Main	1	2	112111211	112211111	Left	0	1	rm_hit	695.1
Main	1	3	112211112	122211111	Right	0	2	rm_hit	698.8
Main	1	4	211211112	221211111	Right	0	2	rm_hit	830.3
Main	1	5	111122121	111121122	Left	0	1	rm_hit	642.1
Main	1	6	212121211	112122211	Left	0	1	rm_hit	613.8
Main	1	1	111122112	121121112	Right	0	2	rm_hit	919.4
Main	1	2	121211122	121212112	Left	0	1	rm_hit	827.1
Main	1	3	212211111	222111111	Right	0	2	rm_hit	751
Main	1	4	212112112	212121112	Right	0	2	rm_hit	882.6
Main	1	5	111212211	121112211	Left	0	1	rm_hit	630.4
Main	1	6	111122111	111121211	Left	0	1	rm_hit	762
Main	1	1	112211111	111212111	Right	0	2	rm_hit	795.7
Main	1	2	122211121	122121121	Left	0	1	rm_hit	847.4
Main	1	3	121211122	111211222	Right	0	2	rm_hit	739.2
Main	1	4	112212111	121212111	Right	0	2	rm_hit	902.7
Main	1	5	122112111	122111121	Left	0	1	rm_hit	490.6
Main	1	6	111122111	111121211	Left	0	1	rm_hit	478.5

