Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	1121111121111111111111111	1121121111111111111111111	Right	0	2	rm_hit	608.4
Main	1	2	1111111212111111111111111	1111211211111111111111111	Right	0	2	rm_hit	723.5
Main	1	3	1111111212111111121111111	1111111212111111112111111	Left	0	1	rm_hit	1430.1
Main	1	4	1111111111221111111211121	1111111111221111121211111	Left	0	1	rm_hit	1049.6
Main	1	5	2111111111112111112111111	1111111111112111112121111	Right	0	2	rm_hit	812.9
Main	1	6	1111111111111211111211111	1111111111211111111211111	Left	0	1	rm_hit	624.2
Main	1	1	1121121111111111111111211	1111121211111111111111211	Right	0	2	rm_hit	800.2
Main	1	2	1211111111121111211111121	1211111111111112211111121	Right	0	2	rm_hit	1011.2
Main	1	3	1111111111121111121122111	1111111111121111221121111	Left	0	1	rm_hit	1094.3
Main	1	4	1111211111111111211111111	1111211111111111111111211	Left	0	1	rm_hit	889.6
Main	1	5	1111112111211111121111111	1211112111211111111111111	Right	0	2	rm_hit	732.6
Main	1	6	1211111111121111111111111	1121111111121111111111111	Left	0	1	rm_hit	639.9
Main	1	1	1111111111112111111112121	1111111111112211111112111	Right	0	2	rm_hit	608.1
Main	1	2	1211111111211112111111211	1211111111112112111111211	Right	0	2	rm_hit	835.1
Main	1	3	1111111111211111111221121	1111111111211111111211221	Left	0	1	rm_hit	1589.8
Main	1	4	1121111111121111111111112	1121111111111111111211112	Left	0	1	rm_hit	953.2
Main	1	5	2111111111111112121111111	2111111111111211121111111	Right	0	2	rm_hit	1036.5
Main	1	6	1111112211111111111121112	1111112111111111121121112	Left	0	1	rm_hit	1247.3
Main	1	1	1111111111111111121112211	1111111111111111121122111	Right	0	2	rm_hit	688
Main	1	2	1111111111111112211112111	1121111111111111211112111	Right	0	2	rm_hit	771.1
Main	1	3	2211111111111111122111111	1211111111111111122111211	Left	0	1	rm_hit	854.2
Main	1	4	1211111111111111112111111	1211111111111111121111111	Left	0	1	rm_hit	1353
Main	1	5	1112111121112121111111111	1112111121112111111112111	Right	0	2	rm_hit	892.5
Main	1	6	1211111112112112111111111	1211111111212112111111111	Left	0	1	rm_hit	975.5
Main	1	1	1111211111111111111111211	1111211111111111112111111	Right	0	2	rm_hit	767.7
Main	1	2	1212111111111112111111121	1212111111111212111111111	Right	0	2	rm_hit	1442.5
Main	1	3	1111211111111111112111111	1111111121111111112111111	Left	0	1	rm_hit	822.1
Main	1	4	2112111111111111111111111	1112111111111111121111111	Left	0	1	rm_hit	713.2
Main	1	5	1111111211111121111112211	1111112211111111111112211	Right	0	1	rm_incorrect	972.3
Main	1	6	1111111121121111221111111	1111111121112111221111111	Left	0	1	rm_hit	1099.3

