Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	211112121	221112111	Right	0	2	rm_hit	1055.4
Main	1	2	111212111	111211211	Right	0	2	rm_hit	844.7
Main	1	3	211111121	111111122	Left	0	1	rm_hit	671.8
Main	1	4	112112122	111122122	Left	0	1	rm_hit	659
Main	1	5	112111211	211111211	Right	0	2	rm_hit	694
Main	1	6	121211112	121221111	Left	0	1	rm_hit	937.1
Main	1	1	221121112	121121122	Right	0	2	rm_hit	777.4
Main	1	2	111121112	111111212	Right	0	2	rm_hit	716.8
Main	1	3	111111122	111121112	Left	0	1	rm_hit	863.6
Main	1	4	111122111	121121111	Left	0	1	rm_hit	563
Main	1	5	211211111	121211111	Right	0	2	rm_hit	678.2
Main	1	6	121211221	122211211	Left	0	1	rm_hit	1129
Main	1	1	211211121	221111121	Right	0	2	rm_hit	809.4
Main	1	2	221111112	222111111	Right	0	2	rm_hit	716.7
Main	1	3	111222111	111212112	Left	0	1	rm_hit	687.7
Main	1	4	211221111	212121111	Left	0	1	rm_hit	755
Main	1	5	111121211	111211211	Right	0	2	rm_hit	806.1
Main	1	6	111122121	112122111	Left	0	1	rm_hit	665.3
Main	1	1	111122122	112121122	Right	0	2	rm_hit	633.6
Main	1	2	112121121	121121121	Right	0	2	rm_hit	780.7
Main	1	3	212111121	222111111	Left	0	1	rm_hit	671.9
Main	1	4	112112121	112122111	Left	0	1	rm_hit	659.2
Main	1	5	121211111	112211111	Right	0	2	rm_hit	870.2
Main	1	6	112121112	122121111	Left	0	1	rm_hit	729.3
Main	1	1	122112121	121122121	Right	0	2	rm_hit	809.4
Main	1	2	112121221	111221221	Right	0	2	rm_hit	748.6
Main	1	3	221211111	121211121	Left	0	1	rm_hit	959.7
Main	1	4	212211121	221211121	Left	0	1	rm_hit	1138.5
Main	1	5	112112111	112111211	Right	0	2	rm_hit	630.1
Main	1	6	221112121	122112121	Left	0	1	rm_hit	953

