Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	122111111	121111211	Left	0	1	rm_hit	1648.5
Main	1	2	211121221	221121121	Right	0	2	rm_hit	883.9
Main	1	3	111211121	111211211	Right	0	2	rm_hit	1286.6
Main	1	4	121112112	111112212	Left	0	1	rm_hit	1241.8
Main	1	5	211121111	111122111	Right	0	2	rm_hit	813.2
Main	1	6	211112121	211111221	Left	0	1	rm_hit	1375.9
Main	1	1	221211211	211221211	Left	0	1	rm_hit	975.9
Main	1	2	111121122	111122121	Right	0	2	rm_hit	1170.9
Main	1	3	211111211	111111212	Right	0	2	rm_hit	1765.5
Main	1	4	212211112	212211121	Left	0	1	rm_hit	1426.9
Main	1	5	111111122	111112112	Right	0	2	rm_hit	1589.7
Main	1	6	111111122	112111112	Left	0	2	rm_incorrect	1161.1
Main	1	1	121211111	122111111	Left	0	1	rm_hit	1576.6
Main	1	2	111211121	111212111	Right	0	2	rm_hit	1180
Main	1	3	211122111	211121121	Right	0	2	rm_hit	1630.7
Main	1	4	212121121	211221121	Left	0	1	rm_hit	1495.7
Main	1	5	212111122	112111222	Right	0	2	rm_hit	843.3
Main	1	6	121112111	111212111	Left	0	1	rm_hit	974.3
Main	1	1	211121112	211121121	Left	0	1	rm_hit	1198.2
Main	1	2	111121121	121121111	Right	0	2	rm_hit	1281
Main	1	3	121121211	121112211	Right	0	2	rm_hit	1508
Main	1	4	211212121	212112121	Left	0	1	rm_hit	1127.7
Main	1	5	111112121	112112111	Right	0	2	rm_hit	1035.6
Main	1	6	211112212	221112211	Left	0	1	rm_hit	1262.8
Main	1	1	121121211	121221111	Left	0	1	rm_hit	1119.9
Main	1	2	111111221	111211121	Right	0	2	rm_hit	1564
Main	1	3	112212111	122211111	Right	0	2	rm_hit	1151.8
Main	1	4	111112112	121111112	Left	0	1	rm_hit	947.2
Main	1	5	211111212	221111112	Right	0	2	rm_hit	1654.2
Main	1	6	212111211	211211211	Left	0	1	rm_hit	1417.8

