Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	1111111211111211121111112	1112111111111211121111112	Left	0	1	rm_hit	581.9
Main	1	2	1111111211111111111111211	2111111211111111111111111	Right	0	2	rm_hit	553.5
Main	1	3	1111111121111212111121111	1111111111111212211121111	Right	0	2	rm_hit	621.3
Main	1	4	1211111111111111111211112	1211111111111111112211111	Left	0	1	rm_hit	561.1
Main	1	5	1211111211111111211111111	1111121211111111211111111	Left	0	1	rm_hit	628.9
Main	1	6	1111111111212121111111111	1111112111212111111111111	Right	0	2	rm_hit	776.7
Main	1	1	1111111111211111211111221	1111111111212111211111121	Left	0	1	rm_hit	586.8
Main	1	2	1111111111121111121112111	2111111111111111121112111	Right	0	2	rm_hit	750.8
Main	1	3	1112111221111111111111111	1112111121111112111111111	Right	0	2	rm_hit	690.6
Main	1	4	1111211111112111111111121	1111211111112111111211111	Left	0	1	rm_hit	774.4
Main	1	5	1111111111121112112121111	1111121111121111112121111	Left	0	1	rm_hit	682.2
Main	1	6	1111112111111211121121111	1121111111111211121121111	Right	0	2	rm_hit	877.9
Main	1	1	2111111111211111112111111	2111111111211111111111121	Left	0	1	rm_hit	640.1
Main	1	2	1111111111221111111121211	1111111111222111111111211	Right	0	2	rm_hit	803.9
Main	1	3	1111121111211111111112111	1111121111211112111111111	Right	0	2	rm_hit	727.8
Main	1	4	1112111112211111111111111	1111111112211111111112111	Left	0	1	rm_hit	603.8
Main	1	5	1112112111111111111111121	1111112111111112111111121	Left	0	1	rm_hit	655.5
Main	1	6	2111121211111111211111111	2111121121111111211111111	Right	0	1	rm_incorrect	723.4
Main	1	1	1111111121111121211111121	1111111121111111211111122	Left	0	1	rm_hit	981.6
Main	1	2	2121111111121111111111111	2121111121111111111111111	Right	0	2	rm_hit	841.4
Main	1	3	1111111211121111211111111	1111211111121111211111111	Right	0	2	rm_hit	765.3
Main	1	4	1111211111111111111111112	1111111111111111121111112	Left	0	1	rm_hit	737
Main	1	5	1111112111121111121211111	1111111111221111121211111	Left	0	1	rm_hit	1012.7
Main	1	6	1111111221121111111111121	1121111221121111111111111	Right	0	2	rm_hit	856.6
Main	1	1	1111111111111211111112111	1211111111111111111112111	Left	0	1	rm_hit	634.9
Main	1	2	1112111112111111111111111	1112111121111111111111111	Right	0	2	rm_hit	638.8
Main	1	3	1111112111111111111111211	1211111111111111111111211	Right	0	2	rm_hit	770.6
Main	1	4	1111111111121111112121112	1111111111121111111121212	Left	0	1	rm_hit	1062.2
Main	1	5	1111221111111111112211111	1111221111111211111211111	Left	0	1	rm_hit	1577.9
Main	1	6	1111111111121111111211111	1111111121111111111211111	Right	0	2	rm_hit	814.2

