Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	121221211	121222111	Right	0	2	rm_hit	779.9
Main	1	2	112211111	111211211	Right	0	2	rm_hit	767.7
Main	1	3	121112211	121122111	Right	0	2	rm_hit	787.5
Main	1	4	112111222	122111122	Left	0	1	rm_hit	599.4
Main	1	5	122112211	221112211	Left	0	1	rm_hit	715.1
Main	1	6	112112121	112212111	Left	0	1	rm_hit	623.1
Main	1	1	111211122	121111122	Right	0	2	rm_hit	986.8
Main	1	2	112222111	112212121	Right	0	2	rm_hit	734.8
Main	1	3	211112112	112112112	Right	0	2	rm_hit	818.7
Main	1	4	211111112	112111112	Left	0	1	rm_hit	550.5
Main	1	5	121121111	122111111	Left	0	1	rm_hit	554.4
Main	1	6	122111221	222111121	Left	0	1	rm_hit	606.3
Main	1	1	212211112	112212112	Right	0	2	rm_hit	800.2
Main	1	2	121221121	122221111	Right	0	2	rm_hit	692.1
Main	1	3	111221121	111211122	Right	0	2	rm_hit	631.8
Main	1	4	111211222	112211122	Left	0	1	rm_hit	555.7
Main	1	5	112121111	112112111	Left	0	1	rm_hit	655.6
Main	1	6	211211112	211221111	Left	0	1	rm_hit	595.6
Main	1	1	112121121	112221111	Right	0	2	rm_hit	677.4
Main	1	2	111221111	111121211	Right	0	2	rm_hit	633.2
Main	1	3	112122112	112122211	Right	0	2	rm_hit	797.1
Main	1	4	211111112	211211111	Left	0	1	rm_hit	593
Main	1	5	112221111	111221211	Left	0	1	rm_hit	612.9
Main	1	6	121211112	111221112	Left	0	1	rm_hit	584.8
Main	1	1	111221111	121211111	Right	0	2	rm_hit	682.7
Main	1	2	111222211	111212221	Right	0	2	rm_hit	734.5
Main	1	3	112211111	211211111	Right	0	2	rm_hit	594.4
Main	1	4	121221112	111221212	Left	0	1	rm_hit	589.3
Main	1	5	211112122	211112212	Left	0	1	rm_hit	528.3
Main	1	6	111122111	112121111	Left	0	1	rm_hit	548.1

