Scenario - Match to Sample
Logfile written - 07/24/2019 09:49:15

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

ssd	0	Pulse	84									443004	443004	1
ssd	3	Picture	ITI	ITI								613327	0	1	2004	1	0	next	other	0
ssd	4	Picture	Study	Study								615331	0	1	10019	1	0	next	other	0
ssd	6	Picture	Stim;Main;1;1;2112111111111111111212111;2111111121111111111212111;Right;0	Stim	Main	1	1	2112111111111111111212111	2111111121111111111212111	Right	0	655407	0	1	40076	1	0	next	miss	0
ssd	7	Picture	ITI	ITI								695483	0	1	2004	1	0	next	other	0
ssd	8	Picture	Study	Study								697486	0	1	10019	1	0	next	other	0
ssd	10	Picture	Stim;Main;1;2;1211111111111121111111211;1211111111121121111111111;Left;0	Stim	Main	1	2	1211111111111121111111211	1211111111121121111111111	Left	0	737562	0	1	40076	1	0	next	miss	0
ssd	11	Picture	ITI	ITI								777638	0	1	2004	1	0	next	other	0
ssd	12	Picture	Study	Study								779642	0	1	10019	1	0	next	other	0
ssd	14	Picture	Stim;Main;1;3;1211111111111111121111111;1111111111121111121111111;Right;0	Stim	Main	1	3	1211111111111111121111111	1111111111121111121111111	Right	0	819718	0	1	40076	1	0	next	miss	0
ssd	15	Picture	ITI	ITI								859794	0	1	2004	1	0	next	other	0
ssd	16	Picture	Study	Study								861797	0	1	10019	1	0	next	other	0
ssd	18	Picture	Stim;Main;1;4;1111111211112111111121121;1111111211112111111111221;Right;0	Stim	Main	1	4	1111111211112111111121121	1111111211112111111111221	Right	0	901873	0	1	40076	1	0	next	miss	0
ssd	19	Picture	ITI	ITI								941949	0	1	2004	1	0	next	other	0
ssd	20	Picture	Study	Study								943953	0	1	10019	1	0	next	other	0
ssd	22	Picture	Stim;Main;1;5;1111111112121211111111111;1111112112121111111111111;Left;0	Stim	Main	1	5	1111111112121211111111111	1111112112121111111111111	Left	0	984029	0	1	40076	1	0	next	miss	0
ssd	23	Picture	ITI	ITI								1024104	0	1	2004	1	0	next	other	0
ssd	24	Picture	Study	Study								1026108	0	1	10019	1	0	next	other	0
ssd	26	Picture	Stim;Main;1;6;1112111111221111111111111;1111211111221111111111111;Left;0	Stim	Main	1	6	1112111111221111111111111	1111211111221111111111111	Left	0	1066184	0	1	40076	1	0	next	miss	0
ssd	28	Picture	ITI	ITI								1246358	0	1	2004	1	0	next	other	0
ssd	29	Picture	Study	Study								1248362	0	1	10019	1	0	next	other	0
