Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	2112111111111111111212111	2111111121111111111212111	Right	0		rm_miss	-65541.7
Main	1	2	1211111111111121111111211	1211111111121121111111111	Left	0		rm_miss	-73757.2
Main	1	3	1211111111111111121111111	1111111111121111121111111	Right	0		rm_miss	-81972.8
Main	1	4	1111111211112111111121121	1111111211112111111111221	Right	0		rm_miss	-90188.3
Main	1	5	1111111112121211111111111	1111112112121111111111111	Left	0		rm_miss	-98403.9
Main	1	6	1112111111221111111111111	1111211111221111111111111	Left	0		rm_miss	-106619.4
Main	1	1	1111111111111111121111121	1111111111111111221111111	Right	0		rm_miss	-128844.8
Main	1	2	1121111112111111111111111	1121111111121111111111111	Left	0		rm_miss	-137060.4
Main	1	3	1111121111211111111121111	2111111111211111111121111	Right	0		rm_miss	-145275.9
Main	1	4	1211121111111111111122111	1211121111111111112121111	Right	0		rm_miss	-153491.4
Main	1	5	1121212111111111111111121	1122212111111111111111111	Left	0		rm_miss	-161707
Main	1	6	1211111111111121111221111	1211112111111121111121111	Left	0		rm_miss	-169922.5
Main	1	1	1211111121112111111111111	1211111111112111112111111	Right	0		rm_miss	-192147.9
Main	1	2	1111111112211111111111211	1111111111211111111111221	Left	0		rm_miss	-200363.5
Main	1	3	1111111111111121112111111	1111111111111121111111211	Right	0		rm_miss	-208579
Main	1	4	1111111111112111112122111	1111121111112111112112111	Right	0		rm_miss	-216794.6
Main	1	5	2111111111211111111121111	2111111111111111121121111	Left	0		rm_miss	-225010.1
Main	1	6	1111111111111121112111111	1121111111111121111111111	Left	0		rm_miss	-233225.7
Main	1	1	1111111211111211221111111	1111111111111211221111211	Right	0		rm_miss	-255451
Main	1	2	1111111111111112111111121	1111111111111111121111121	Left	0		rm_miss	-263666.6
Main	1	3	1111112111111121211111111	1111112111111111211111112	Right	0		rm_miss	-271882.1
Main	1	4	1111111111111211111121111	1111111111111211112111111	Right	0		rm_miss	-280097.7
Main	1	5	2111111111112111111111111	2111112111111111111111111	Left	0		rm_miss	-288313.2
Main	1	6	1112111111111111111221211	1112111111111211111221111	Left	0		rm_miss	-296528.8
Main	1	1	1111111211111111111111112	1111111111111111121111112	Right	0		rm_miss	-318754.2
Main	1	2	1121121111111111111111111	1111221111111111111111111	Left	0		rm_miss	-326969.7
Main	1	3	1211111211111121111111111	1211211211111111111111111	Right	0		rm_miss	-335185.3
Main	1	4	1111221111111111111111111	1111211112111111111111111	Right	0		rm_miss	-343400.8
Main	1	5	1111112111112112111111111	1111112111111112111111211	Left	0		rm_miss	-351616.4
Main	1	6	1121111112112111112111111	1121111112112111111111211	Left	0		rm_miss	-359831.9

