Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	1111111112211111111111111	1111111122111111111111111	Left	0	1	rm_hit	617.3
Main	1	2	2111111111211211121111111	1111112111211211121111111	Left	0	1	rm_hit	1180.4
Main	1	3	1111111111211111211111111	1121111111111111211111111	Right	0	2	rm_hit	928.1
Main	1	4	2112111122111111111111111	1112111122111111121111111	Right	0	2	rm_hit	931.6
Main	1	5	1111111111111111211112111	1111111111111111211111211	Right	0	2	rm_hit	775.3
Main	1	6	1112211111112111111111111	1112221111111111111111111	Left	0	1	rm_hit	794.8
Main	1	1	1112111111111111111211111	1112111111211111111111111	Left	0	1	rm_hit	601.1
Main	1	2	1111111112111111121111111	1111111111111111121112111	Left	0	1	rm_hit	1356.1
Main	1	3	1121111112111112121111111	1121111112111111121121111	Right	0	2	rm_hit	1663.6
Main	1	4	1111111111121121112121111	1111111111121122112111111	Right	0	2	rm_hit	1091.5
Main	1	5	1112111111111112112211111	1112111211111112112111111	Right	0	2	rm_hit	1318.8
Main	1	6	1111121121111111112111112	1111111121111111112112112	Left	0	1	rm_hit	1210.6
Main	1	1	1111111111111111112211111	1111111111211111112111111	Left	0	1	rm_hit	572.3
Main	1	2	1211111111111111111121111	1211111111111111211111111	Left	0	1	rm_hit	751.7
Main	1	3	1111111111111121211212111	1111112111111121211211111	Right	0	2	rm_hit	851.2
Main	1	4	1111111111111112111111112	1111121111111112111111111	Right	0	2	rm_hit	726.8
Main	1	5	1111111121111211111111111	1111111112111211111111111	Right	0	2	rm_hit	762.5
Main	1	6	1111111111112121121111211	1111111111112121121121111	Left	0	1	rm_hit	766
Main	1	1	1211111111121112111112111	1211111111121112121111111	Left	0	1	rm_hit	639.4
Main	1	2	1121121111112111111111111	1221111111112111111111111	Left	0	1	rm_hit	770.8
Main	1	3	1111121211111111111111111	1111111211112111111111111	Right	0	2	rm_hit	694.3
Main	1	4	1111111111121112111211111	1111111111121112111111121	Right	0	2	rm_hit	873.7
Main	1	5	1111111111111121211211111	1111112111111121111211111	Right	0	2	rm_hit	845.1
Main	1	6	1111121111111111121121111	1111111111111111221121111	Left	0	1	rm_hit	752.7
Main	1	1	1211211211111111111111111	1111211211111111111111121	Left	0	1	rm_hit	849.8
Main	1	2	1112111111112111112111121	1112111111112111111112121	Left	0	1	rm_hit	597.6
Main	1	3	1111211111111111122121111	1111111111111111122121112	Right	0	2	rm_hit	745.1
Main	1	4	1111121111111211111111111	1121121111111111111111111	Right	0	2	rm_hit	892.6
Main	1	5	1211111111111121111112121	1211111111111121111121121	Right	0	2	rm_hit	1359.9
Main	1	6	2111111221111111111111111	2111111211111111211111111	Left	0	1	rm_hit	755.7

